name,x,y,z,mag,color
Mirfak,0.405902515,0.7646985745,0.5004790091,1.79,4294966517
Dubhe,-0.4603693869,0.8800961731,0.1161497035,1.79,4294965998
Wezen,-0.2623665443,-0.4453361882,0.8560604394,1.84,4294926848
Kaus Australis,0.0865496482,-0.5640184991,-0.8212139131,1.85,4289844991
Avior,-0.2963377708,-0.8618426909,0.4115957991,1.86,4293654015
Alkaid,-0.5814646086,0.7582845693,-0.2947938616,1.86,4294963903
Sargas,-0.0712671342,-0.6831165538,-0.7268237541,1.87,4294959004
Menkalinan,-0.000302772,0.7069338006,0.7072796547,1.9,4294959263
Atria,-0.111023421,-0.9334815701,-0.34100727,1.92,4292673536
Alhena,-0.1569381795,0.2801681921,0.9470354755,1.93,4294961334
Peacock,0.3266462567,-0.8360334566,-0.4408517693,1.94,4294958489
Alsephina,-0.377612195,-0.8177827611,0.4343275099,1.96,4294960513
Mirzam,-0.0920325843,-0.306042155,0.9475590761,1.98,4294912768
Castor,-0.3406034966,0.5282679767,0.7777674478,1.98,4294958687
Alphard,-0.7808069331,-0.1517958697,0.6060516044,1.98,4294921984
Hamal,0.7823206595,0.3949833849,0.4816248657,2.0,4294960818
Polaris,0.0102121017,0.9999167838,0.0078827967,2.02,4294376447
Nunki,0.2125946169,-0.4437944496,-0.8705458146,2.02,4294959264
Diphda,0.9364032965,-0.3047119382,0.1740675186,2.04,4294964183
Alnitak,0.0837631301,-0.0336221531,0.9959183144,2.05,4294966514
Alpheratz,0.8756497716,0.4817534091,0.0339283107,2.06,4294917632
Mirach,0.7744930687,0.5835649585,0.2441565599,2.06,4294966777
Saiph,0.0526382531,-0.167966484,0.9843863442,2.06,4294963122
Menkent,-0.6866476677,-0.5909551877,-0.4234228934,2.06,4294965478
Kochab,-0.2066099686,0.9607802223,-0.1849694171,2.08,4294960816
Rasalhague,-0.1065295838,0.2174450019,-0.9702417837,2.08,4294954256
Tiaki,0.6409273327,-0.7338755254,-0.2250308142,2.1,4294965737
Algol,0.5146793328,0.6568757891,0.5510166803,2.12,4294918912
Denebola,-0.9669962203,0.2505098133,0.0465096041,2.14,4294950656
Sadr,0.4437866857,0.6462128739,-0.6208561018,2.2,4294942720
Suhail,-0.5307671178,-0.6866931836,0.4967280325,2.21,4294960816
Schedar,0.5428047058,0.8342438904,0.096954539,2.23,4294936576
Mintaka,0.1218389919,-0.0052198877,0.9925361519,2.23,4294963645
Alphecca,-0.5291661699,0.4495418789,-0.7196494034,2.23,4294956082
Eltanin,-0.0058715173,0.7823702169,-0.6227859736,2.23,4294961592
Naos,-0.3933301873,-0.6428287016,0.6573147071,2.25,4294962599
Aspidiske,-0.3871817997,-0.8596309912,0.3333538855,2.25,4294955561
Almach,0.633822837,0.673408713,0.3805119138,2.26,4291224319
Caph,0.512394816,0.8585035613,0.0205715304,2.27,4294952192
Mizar,-0.5365401969,0.8184031313,-0.2057691223,2.27,4294956080
Larawag,-0.2479122088,-0.5634448974,-0.7880795546,2.29,4294935040
Uridim,-0.5149519662,-0.7359585337,-0.4395332857,2.3,4294962342
Dschubba,-0.4621289108,-0.3837711095,-0.7994727046,2.32,4294954778
Merak,-0.5359153617,0.8327529268,0.1389866467,2.37,4294956864
Ankaa,0.7346793502,-0.6731134598,0.0846435035,2.39,4294931712
Enif,0.8168655038,0.17201075,-0.5505842811,2.39,4294965480
Scheat,0.8562309096,0.470549489,-0.213194296,2.42,4294960040
Sabik,-0.2067863499,-0.2710117143,-0.940102152,2.43,4294957905
Phecda,-0.5918720461,0.8058745219,0.0159290943,2.44,4294956342
Alderamin,0.3508685818,0.8877012717,-0.2981236162,2.44,4294953472
Aludra,-0.3128495113,-0.4894293755,0.8139926718,2.45,4294960252
Aljanah,0.5501132318,0.5587833548,-0.6205937436,2.46,4294937344
Markab,0.9370998547,0.2622747888,-0.230338441,2.49,4294957385
Markeb,-0.442648859,-0.8192582584,0.3645242019,2.5,4294962080
Menkar,0.6980490871,0.0689041914,0.7127269353,2.53,4294963146
Zosma,-0.9178199591,0.3505855974,0.1862693253,2.56,4294955300
Arneb,0.1130091381,-0.3060655637,0.9452792209,2.58,4294952704
Gienah,-0.9505594835,-0.3049952872,-0.0584340918,2.59,4294917120
Ascella,0.2339409754,-0.4981872744,-0.8349138038,2.6,4294961817
Algieba,-0.8516496266,0.3398840496,0.3989633395,2.61,4294949190
Zubeneschamali,-0.6440094703,-0.1630332905,-0.7474436088,2.61,4294959992
Mahasim,0.0009823864,0.6047785565,0.7963930766,2.62,4294955562
Acrab,-0.4509633681,-0.3388290673,-0.8257281052,2.62,4294965211
Sheratan,0.8220410784,0.3536637674,0.4462851164,2.64,4288596991
Phact,0.0734556702,-0.5602662467,0.8250490878,2.64,4294961038
Kraz,-0.9074638395,-0.3971000325,-0.1371894462,2.65,4294938624
Unukalhai,-0.5547078007,0.1119169761,-0.8244839879,2.65,4294929152
Ruchbah,0.4620367097,0.8680694614,0.1815970514,2.68,4294955298
Muphrid,-0.8325533125,0.3155848248,-0.4552594866,2.68,4294946304
Hassaleh,0.2272417804,0.5470667963,0.8056544505,2.69,4294924544
Lesath,-0.100894129,-0.6078899529,-0.7875850303,2.69,4294964947
Izar,-0.6694868929,0.4551458017,-0.5870516157,2.7,4294935040
Kaus Media,0.0793596644,-0.4974013615,-0.863883053,2.7,4294925312
Tarazed,0.4395620071,0.1841787019,-0.8791265254,2.72,4294923264
Yed Prior,-0.4439260176,-0.064444661,-0.8937430148,2.74,4294921216
Athebyne,-0.1940051511,0.8789375367,-0.4356957746,2.74,4294938624
Kulou,-0.752590907,-0.5978024317,-0.2761144316,2.75,4294957386
Zubenelgenubi,-0.7060784268,-0.2763432822,-0.6519874582,2.75,4294957906
Hatysa,0.1064197248,-0.102964339,0.9889758274,2.77,4287414527
Kornephoros,-0.3552626669,0.3663314379,-0.8599940204,2.77,4294936832
Cebalrai,-0.0718265542,0.0796424186,-0.9942323829,2.77,4294930944
Cursa,0.2247087081,-0.0886650023,0.9703836941,2.79,4294958167
Rastaban,-0.0786741411,0.7912389376,-0.6064250351,2.79,4294936576
Imai,-0.5176563692,-0.8549025834,-0.0342557496,2.8,4294835967
Tureis,-0.4814107384,-0.4115798236,0.7738512452,2.81,4294950656
Kaus Borealis,0.109950092,-0.4292902023,-0.8964490501,2.81,4294934272
Paikauhale,-0.3162054982,-0.4727986682,-0.8224813082,2.82,4294704639
Algenib,0.9634827189,0.2619121177,0.0557054124,2.83,4287348991
Vindemiatrix,-0.9458596451,0.1901105655,-0.2630731925,2.83,4294936064
Nihal,0.129146164,-0.3544512361,0.9261131624,2.84,4294938880
Lang-Exster,0.4482080457,-0.868283463,-0.2125873365,2.86,4294924800
Alcyone,0.498864951,0.4084090747,0.764418595,2.87,4294964166
Fawaris,0.3119621531,0.7087219532,-0.6327659979,2.87,4294962077
Deneb Algedi,0.8034751264,-0.2777943258,-0.5265529734,2.87,4294952704
Tejat,-0.0923985019,0.3828946357,0.9191595154,2.88,4294914816
Fang,-0.4528499677,-0.4401621416,-0.7753606876,2.89,4293916415
Alniyat,-0.3769102228,-0.4319736911,-0.8193518256,2.89,4294958427
Albaldah,0.2797709449,-0.3587553705,-0.8905182775,2.89,4294952704
Gomeisa,-0.3672867837,0.1441687538,0.9188665784,2.9,4294965209
Cor Caroli,-0.7612510673,0.6200340502,-0.1898804601,2.9,4294962602
Sadalsuud,0.793709525,-0.0970828246,-0.6004998877,2.91,4294938624
Matar,0.8157803362,0.5033386527,-0.2848730312,2.94,4294938112
Zaurak,0.4933846466,-0.2335983145,0.8378564423,2.95,4294918656
Algorab,-0.9506140465,-0.2842839458,-0.1245615224,2.95,4291946495
Sadalmelik,0.8783538548,-0.0055832339,-0.4779783816,2.96,4293982463
Mebsuta,-0.1724831493,0.424690503,0.8887561757,2.98,4294925824
Almaaz,0.1807385489,0.6924365872,0.6984734423,2.99,4294944000
Alnasl,0.021846533,-0.5064091278,-0.8620165452,2.99,4294932992
Okab,0.2733450375,0.2396020339,-0.9315972069,2.99,4294960777
Tianguan,0.0908329174,0.3606879441,0.9282529763,3.0,4294966512
Aldhanab,0.6775415817,-0.6068897316,-0.4154783493,3.01,4294964429
Furud,-0.0766095977,-0.5009572107,0.8620747314,3.02,4294965732
Seginus,-0.6181774568,0.6199012378,-0.4833002041,3.03,4293916671
Mira,0.8196750421,-0.0519647704,0.5704669036,3.04,4290969600
Tania Australis,-0.6819667523,0.6626156543,0.3096156383,3.05,4294919424
Pherkad,-0.1996424287,0.9501577807,-0.2394641778,3.05,4294957644
Altais,0.1183302615,0.9249575132,-0.3611807692,3.07,4294932480
Xamidimura,-0.2306691635,-0.6163142863,-0.7529597848,3.08,4287414527
Albireo,0.3405827695,0.468849241,-0.8149747029,3.08,4294928384
Dabih,0.5580863564,-0.2551319847,-0.7895867839,3.08,4294939392
Wazn,0.0319933751,-0.5844835193,0.8107745923,3.12,4294930432
Talitha,-0.4711100826,0.7436219552,0.4744277372,3.14,4293391359
Sarin,-0.1769215092,0.4200620716,-0.8900823757,3.14,4294959994
Haedus,0.1739104689,0.6591380946,0.7316366045,3.17,4293587711
Pipit,-0.1195732434,-0.6844956126,0.7191439326,3.17,4294965209
Aldhibah,-0.0911432014,0.9115094788,-0.4010528481,3.17,4294966772
Tabit,0.2991148008,0.1211994451,0.9464887905,3.19,4294966256
Xami,-0.3210491956,-0.9061319912,-0.2754128327,3.19,4294955822
Fuyue,-0.0353069628,-0.6024173316,-0.7974000106,3.21,4294928640
Errai,0.2133012802,0.9767962616,-0.0192776363,3.21,4294932224
Alfirk,0.2628452095,0.9429947149,-0.2041405483,3.23,4291157247
Acamar,0.543329814,-0.6468506777,0.5351419568,3.24,4294958429
Yed Posterior,-0.4277999455,-0.0818051258,-0.9001639451,3.24,4294933248
Sulafat,0.2140752066,0.5400870255,-0.813927399,3.24,4294962341
Skat,0.9232688075,-0.2726318374,-0.2706410729,3.27,4292406271
Propus,-0.0599239947,0.3827923311,0.9218889012,3.28,4294915328
Brachium,-0.6279256264,-0.4270763265,-0.6506267894,3.29,4294914304
Edasich,-0.3228154547,0.8568628044,-0.4019655665,3.29,4294928384
Megrez,-0.5429282599,0.8389808244,-0.0366071155,3.31,4292406271
Azmidi,-0.4164819423,-0.4203992337,0.8061062437,3.34,4294929152
Chertan,-0.9448079467,0.2660477812,0.1911975993,3.34,4294963645
Rhombus,0.2054439078,-0.8867980823,0.4139830456,3.35,4294936576
Alzirr,-0.1913688885,0.2231606803,0.9558123557,3.36,4294952704
Muscida,-0.2981926646,0.8722203247,0.387701999,3.36,4294962369
Heze,-0.9158089599,-0.0103953097,-0.4014796216,3.37,4292668927
Segin,0.3894237887,0.896254458,0.2123135871,3.38,4289122559
Ashlesha,-0.6609694142,0.1117912158,0.7420391887,3.38,4294942976
Minelauva,-0.9690157499,0.0592581164,-0.2397852208,3.38,4294914560
Chamukuy,0.3732687131,0.273468784,0.8865017157,3.4,4294958948
Homam,0.9250778952,0.1879180883,-0.3300267868,3.4,4294966514
Mothallah,0.7659513454,0.4936046748,0.4119137791,3.41,4294951424
Heng,-0.6631464954,-0.6650713952,-0.3433901061,3.41,4288268543
Achird,0.5204545074,0.8463395157,0.113298411,3.44,4294917376
Adhafera,-0.825973211,0.3974246651,0.3997773009,3.44,4294953994
Tania Borealis,-0.6597767026,0.6809023221,0.3179099407,3.45,4294964166
Sheliak,0.1810562661,0.5499364079,-0.8153456787,3.45,4288596991
Kaffaljidhma,0.7555096242,0.0564343582,0.6527023602,3.47,4294962603
Nganurganity,-0.2350561373,-0.4684666374,0.851638199,3.47,4294917120
Alula Borealis,-0.8240601288,0.5460205203,0.1509519646,3.48,4294920704
Rasalgethi,-0.1904088372,0.2485239841,-0.9497264364,3.48,4294944768
Sadalbari,0.8671514642,0.4163028956,-0.2733866076,3.48,4294934528
Nekkar,-0.5339752331,0.6479927535,-0.5431167847,3.5,4294934784
Tarf,-0.5538584472,0.1596283318,0.817165599,3.52,4294920448
Subra,-0.8097937829,0.1717939921,0.5609998694,3.52,4294951424
Ain,0.3666931009,0.3285414827,0.8704002895,3.53,4294960557
Wasat,-0.3176205047,0.3743191549,0.8712074295,3.53,4294955301
Biham,0.8822354498,0.1079640777,-0.4582623364,3.53,4294963123
Rana,0.5537819799,-0.1695229523,0.8152223546,3.54,4294935808
Meissa,0.1066450496,0.1725162263,0.9792165159,3.54,4287480319
Nembus,0.6014447362,0.750430861,0.2740761795,3.57,4294925056
Pipirima,-0.2292335564,-0.6159040084,-0.7537335265,3.57,4288005887
Algedi,0.5530783871,-0.2172036262,-0.8043176502,3.57,4294935552
Ginan,-0.4917881685,-0.8695013103,-0.0459550726,3.59,4294921472
Alkaphrah,-0.4883776142,0.7332111194,0.4731688497,3.6,4294965729
Zavijava,-0.9987050371,0.0307743452,0.0405115859,3.61,4294965738
Alpherg,0.8885313755,0.2646442903,0.3748004728,3.62,4294963404
Alfarasalkamil,0.7157130892,0.6733479005,-0.1853574353,3.62,4294835967
Bharani,0.6554320156,0.4580288988,0.6005151129,3.63,4294967035
Atlas,0.4934546766,0.407584897,0.7683599638,3.63,4290173439
Rotanev,0.6140883292,0.2519843438,-0.7479300866,3.63,4294953734
Prima Hyadum,0.4077738896,0.2693827164,0.8724410622,3.65,4294961075
Porrima,-0.983217626,-0.0252991261,-0.180673889,3.65,4294955300
Thuban,-0.3703179458,0.9016508851,-0.2233613672,3.65,4294966772
Fulu,0.5815898492,0.8079576763,0.094644813,3.66,4288728319
Safina,0.9099056043,-0.3611734805,-0.2040233032,3.66,4294926080
Zhou,-0.531402192,0.26591967,-0.8042999685,3.67,4294963123
Nusakan,-0.5384411972,0.48642846,-0.6880904231,3.68,4292997375
Nashira,0.7849829444,-0.2867321232,-0.549168887,3.68,4293916671
Electra,0.5075019628,0.4085396848,0.7586416042,3.7,4293456383
Taiyangshou,-0.6707401273,0.7405645832,0.0408874042,3.71,4294925568
Alshain,0.4791802568,0.1115491782,-0.8705992547,3.71,4294938112
Baten Kaitos,0.8697050527,-0.1794068617,0.4598111562,3.73,4294929408
Ran,0.5904902676,-0.1643274725,0.7901377891,3.73,4294961852
Saclateni,0.1872231783,0.6570561957,0.7302223204,3.75,4294919936
Bake-eo (or Bake Eo),-0.0527465294,0.0472275844,-0.9974905307,3.75,4294964949
Grumium,-0.0154214714,0.8374612091,-0.5462791424,3.75,4294927104
Miram,0.4122405398,0.8280156565,0.3800629026,3.76,4294917376
Secunda Hyadum,0.3918573916,0.3014113325,0.8692519734,3.76,4294935040
Sualocin,0.6169982748,0.2741610382,-0.737664459,3.77,4294704639
Albali,0.6589262638,-0.1649775825,-0.7338927552,3.77,4294965992
Stellio,0.5917335848,0.7692051949,-0.2411943878,3.77,4294966251
Mekbuda,-0.2584900714,0.3513562892,0.8998508993,3.79,4294942976
Misam,0.4800435903,0.7053378199,0.521590559,3.8,4294935040
Theemin,0.3101611954,-0.5084764162,0.8032756482,3.82,4294935808
Marfik,-0.3787725566,0.0346136374,-0.924842282,3.82,4294965991
Udkadua,0.685610695,0.724848864,-0.0673208683,3.82,4294931712
Atik,0.4717498925,0.5341783051,0.7015023715,3.83,4294964428
Praecipua,-0.7921855802,0.5622804558,0.2372397426,3.83,4294930432
Paradys,-0.1413048409,-0.9817761646,-0.1270767667,3.83,4294959782
Giausar,-0.3502243175,0.9356350926,0.043930638,3.84,4294916096
Tusizuo,0.0958730447,0.3708600997,-0.9237267701,3.84,4294926848
Sadachbia,0.9090759361,-0.0242105752,-0.4159264244,3.84,4294441727
Polis,0.0560099862,-0.3593264566,-0.9315295911,3.86,4294957644
Dalim,0.5851063415,-0.4845672115,0.6502654739,3.87,4294937856
Maia,0.5033417197,0.4125884531,0.7592218922,3.87,4294704639
Sceptrum,0.3386406152,-0.2470786595,0.9078957373,3.87,4294929920
Rasalas,-0.7637508435,0.4384763432,0.4737332007,3.88,4294926592
Iklil,-0.4466359819,-0.4880756753,-0.7498656112,3.88,4288662783
Azha,0.7093949847,-0.1546951665,0.687625015,3.89,4294930432
Zaniah,-0.9961633614,-0.0116388948,-0.0867357685,3.89,4294965729
Ukdah,-0.8186306699,-0.0199493381,0.5739737365,3.91,4294921984
Zubenelhakrabi,-0.5699235271,-0.2552685872,-0.7810410499,3.91,4294932480
Wurren,0.5448697131,-0.8216033514,0.1675855865,3.92,4289779199
Kitalpha,0.7510470122,0.0914580404,-0.6538836382,3.92,4294950912
Asellus Australis,-0.625544117,0.3115604488,0.715279417,3.94,4294931200
Beemim,0.3370076262,-0.5594335646,0.7572713825,3.96,4294918656
Rukbat,0.2716820059,-0.6509924595,-0.7088001872,3.97,4290304767
Alcor,-0.5345314464,0.819030348,-0.2084836249,4.01,4292800511
Jabbah,-0.4280713952,-0.3331560504,-0.8400963794,4.01,4294965210
Arkab Prior,0.2518222758,-0.7003991787,-0.6678521782,4.01,4293127935
Alchiba,-0.9076838959,-0.4183277053,-0.033344805,4.02,4294310655
Aldulfin,0.6078015797,0.1960005567,-0.7695199942,4.03,4289713663
Menkib,0.4087457419,0.5848308617,0.7006424064,4.04,4288071423
Beid,0.4512797136,-0.1190489125,0.8844060021,4.04,4294957385
Shimu,0.892264625,0.4109865239,0.1869596645,4.06,4294928640
Alkes,-0.9168324095,-0.3139628709,0.2466691073,4.08,4294959780
Syrma,-0.8244584382,-0.1045699641,-0.5561774953,4.08,4294952192
Garnet Star,0.4290875207,0.8551836343,-0.2907659732,4.08,4294907136
Titawin,0.6841608003,0.6613611125,0.3074499605,4.09,4294965998
Gudja,-0.5149949519,0.3113593765,-0.7986460657,4.09,4294914560
Meridiana,0.2355395037,-0.6143527272,-0.7530550238,4.11,4294965207
Muliphein,-0.2644637674,-0.2694801959,0.9259802048,4.12,4290107647
Zhang,-0.8185679966,-0.2562345067,0.5140917355,4.12,4294937344
Kaffalmusalsala,0.7126686566,0.6988379714,-0.0610645202,4.14,4290370303
Ancha,0.8920921442,-0.1354282841,-0.4310809508,4.16,4294961593
Merope,0.5033356636,0.405909662,0.7628175116,4.18,4294770175
Xuange,-0.5743288772,0.7204181242,-0.3887725133,4.18,4294964168
Kang,-0.8231246303,-0.1783400229,-0.539129557,4.19,4294959781
Alsciaukat,-0.4255585799,0.6843903872,0.5920385908,4.25,4294916864
Acubens,-0.687436178,0.205479021,0.6965700776,4.25,4294963121
Torcular,0.8846865518,0.1591573556,0.4381764955,4.26,4294961853
Chara,-0.742474377,0.6607720025,-0.1100552602,4.26,4294964960
Arkab Posterior,0.2520350639,-0.7046344304,-0.6633013237,4.29,4294956343
Kurhah,0.3745820147,0.9035475466,-0.2080628399,4.29,4294113791
Rasalnaqa,0.72484428,0.6854126391,-0.0693562106,4.29,4293390847
Taygeta,0.504990537,0.4141700899,0.7572632925,4.3,4289910527
Alterf,-0.7346458317,0.3902140672,0.5550031386,4.31,4294916352
Alkalurops,-0.4987771569,0.6070645763,-0.6186226216,4.31,4294957906
Alrescha,0.8605215943,0.048217996,0.5071268191,4.33,4293916159
Botein,0.6309831455,0.3375331002,0.6985210636,4.35,4294960818
Ramus,0.0357119278,0.3553439848,-0.9340531627,4.36,4290960127
Yildun,-0.0071992341,0.9982260341,-0.0591012333,4.36,4291815423
Sham,0.4022663962,0.3092460619,-0.8617126085,4.37,4294965218
Aladfar,0.2453061474,0.6312981103,-0.7357224953,4.39,4289319423
Alkarab,0.9072764482,0.3972161516,-0.1380897372,4.4,4294950912
Alula Australis,-0.8382382934,0.5228990669,0.1547033589,4.41,4294951936
Solitaire,-0.6504757873,-0.4688648824,-0.5975340761,4.41,4294920192
Maasym,-0.1143346317,0.4401071439,-0.8906364544,4.41,4294958746
Kui,0.8891956544,0.3974273658,0.226677253,4.42,4294962110
Keid,0.4374343377,-0.1334340411,0.8892955396,4.43,4294940672
Minchir,-0.6375376107,0.0582847517,0.7682113528,4.44,4294960299
Anser,0.3430133572,0.4173029933,-0.8415462248,4.44,4294961335
Lilii Borea,0.6486365505,0.4885689089,0.5835846525,4.51,4294932224
Khambalia,-0.7991094427,-0.2312549749,-0.5549281351,4.52,4292603391
Honores,0.636791559,0.7593466358,-0.1337505029,4.52,4293785343
Fumalsamakah,0.9680104143,0.0666222405,-0.2419035237,4.53,4292865279
Cujam,-0.3891123203,0.2424807492,-0.8887039374,4.57,4294966252
Dziban,-0.0241334969,0.9518497456,-0.3056135403,4.58,4294967034
Salm,0.9019117712,0.4025924265,-0.1564432649,4.6,4293194495
Alya,0.2422024463,0.0733033893,-0.9674526284,4.62,4294961820
Castula,0.4967514443,0.8587887557,0.1253789283,4.63,4294936576
Asellus Borealis,-0.608343751,0.3659868014,0.7042524702,4.66,4294966511
Azelfafage,0.5166633594,0.7792243432,-0.3547793625,4.67,4292471039
Alsafi,0.1364012302,0.9376067634,-0.3198253611,4.68,4294962371
Bunda,0.805859895,-0.136654633,-0.5761209429,4.69,4294962078
Terebellum,0.4340921959,-0.4430578875,-0.7843874513,4.7,4294944768
Libertas,0.4729127354,0.1471377922,-0.8687370228,4.71,4294933760
Mesarthim,0.830380336,0.3304060515,0.448665063,4.75,4291027199
Angetenar,0.6854257831,-0.3584348918,0.6338106375,4.75,4294961851
Alshat,0.561724978,-0.2208531554,-0.7973010303,4.76,4290961407
Zibal,0.6488428646,-0.1533225744,0.7453154535,4.8,4294960253
Elgafar,-0.7975070987,-0.0388756637,-0.6020557369,4.81,4294963923
Fafnir,0.0468130215,0.9104193107,-0.4110294633,4.82,4294927104
Ainalrami,0.2159556026,-0.3866284802,-0.8965944434,4.83,4294921472
Deltoton,0.683309006,0.5624173093,0.4655916371,4.87,4294949120
Adhil,0.6558202093,0.7136028804,0.246314397,4.88,4294960041
Jishui,-0.3452185026,0.5676115476,0.7474231175,4.9,4294967036
Felis,-0.8080087888,-0.3257252308,0.490942839,4.94,4294914048
Tengshe,0.6216407886,0.7630467263,-0.1769814214,4.95,4294911744
Bodu,0.0061138465,0.368058862,-0.9297823912,4.96,4294962342
La Superba,-0.6880918563,0.7125199298,-0.1372768989,4.99,4294902528
Marsic,-0.4485697536,0.2931551958,-0.8443016092,5.0,4294938368
Elkurud,-0.0261379415,-0.6053345363,0.7955418953,5.02,4293587711
Situla,0.9337486613,-0.0737357766,-0.3502520133,5.03,4294931968
Chalawan,-0.7347888821,0.6485252084,0.1987469568,5.05,4294964960
Guniibuu,-0.1731427989,-0.4478653083,-0.8771762861,5.07,4294961851
Pleione,0.4930516812,0.4089118689,0.7679134868,5.09,4294376191
Hoerikwaggo,-0.0117562474,-0.9648056299,0.2627011367,5.09,4294963924
Nahn,-0.6816180172,0.3753424364,0.6281042382,5.14,4294961853
Cervantes,-0.0427156017,-0.7862334502,-0.6164514087,5.15,4294964184
Diadem,-0.9094502825,0.3012064057,-0.2866616208,5.22,4294953993
Veritate,0.7684825365,0.6325137244,-0.0967521552,5.22,4294933760
Revati,0.9404119502,0.1318260263,0.3134441938,5.24,4293588479
Taiyi,-0.4035540431,0.9095144658,-0.0996371957,5.24,4293982463
Intercrus,-0.5525833001,0.7144837445,0.4291441195,5.41,4294961853
Tianyi,-0.3856380026,0.9190684687,-0.0812187222,5.43,4294915584
Celaeno,0.5070393997,0.4113436335,0.7574347908,5.46,4290173439
Polaris Australis,0.0133629635,-0.99983415,-0.0123735083,5.47,4293850879
Musica,0.689721537,0.1880521724,-0.699228562,5.48,4294938624
Helvetios,0.900430937,0.3546028239,-0.2519542913,5.49,4294964443
Tianfu,0.5114034567,0.1266840497,-0.849951561,5.52,4294933504
Tegmine,-0.5197570093,0.3031563683,0.7987170135,5.63,4294954516
Merga,-0.5124879891,0.7207429965,-0.4667821697,5.74,4294966516
Alruba,-0.0412311499,0.806977131,-0.5891416657,5.75,4291421183
Asterope,0.5023274287,0.4155555244,0.7582748581,5.76,4294573055
Tonatiuh,-0.2265010701,0.9739970205,-0.0052028205,5.8,4294961592
Alrakis,-0.1373030445,0.8138149288,-0.5646708206,5.8,4294953994
Copernicus,-0.6019629527,0.4745458272,0.6422202593,5.95,4294962629
Piautos,-0.5256434192,0.4070910055,0.7469778505,5.98,4290830079
Meleph,-0.6071651356,0.3345431311,0.7207158883,6.3,4292866047
